   100	0.00038	0.00001	10.2	0.1
   200	0.00080	0.00001	10.1	0.1
   400	0.00168	0.00001	10.1	0.1
   800	0.00340	0.00001	10.1	0.1
  1600	0.00690	0.00001	10.2	0.1
  3200	0.01382	0.00001	10.1	0.1
  6400	0.02807	0.00001	10.1	0.1
 12800	0.06008	0.00001	10.1	0.1
 20000	0.10934	0.00001	10.1	0.1
 30000	0.20430	0.00001	 9.2	0.1
 40000	0.26800	0.00001	 7.6	0.1
 50000	0.29203	0.00001	 6.1	0.1
 60000	0.29795	0.00001	 5.1	0.1
 70000	0.29551	0.00001	 4.5	0.1
 80000	0.28941	0.00001	 3.9	0.1
 90000	0.28503	0.00001	 3.5	0.1
100000	0.28256	0.00100	 3.1	0.1
