 1	1.40	10.40	 3
 2	0.76	 8.64	 5
 3	0.52	 9.00	 8
 4	0.44	 9.20	11
 5	0.34	 4.18	 6
 6	0.28	 4.06	 7
 7	0.24	 4.40	 9
 8	0.22	 4.32	10
 9	0.22	 4.48	11
10	0.20	 4.36	11
