 100	0.295	0.000	0.534	0.000	0.653	0.000
 200	0.127	0.005	0.604	0.005	0.839	0.005
 300	0.290	0.000	0.462	0.013	0.816	0.013
 400	0.300	0.000	0.404	0.020	0.816	0.020
 500	0.303	0.000	0.154	0.031	0.732	0.031
 600	0.291	0.000	0.236	0.034	0.944	0.034
 700	0.300	0.000	0.069	0.044	0.899	0.044
 800	0.300	0.000	0.406	0.041	0.745	0.056
 900	0.300	0.000	0.452	0.046	0.718	0.064
1000	0.297	0.000	0.564	0.049	0.790	0.071
