# x/mm      I/mA
3           0.01
3.2         0.026
3.4         0.066
3.6         0.124
3.8         0.238
4.0         0.440
4.2         0.575
4.4         0.744
4.6         0.766
4.8         0.680
5.0         0.555
5.2         0.335
5.4         0.190
5.6         0.118
5.8         0.031
6.0         0.011
6.2         0.002
