-200	 18.44	7.00
-190	 22.71	8.50
-180	 27.03	9.75
-170	 31.28	10.70
-160	 35.48	11.50
-150	 39.65	12.10
-140	 43.80	12.65
-130	 47.93	13.15
-120	 52.04	13.60
-110	 56.13	13.90
-100	 60.20	14.25
 -90	 64.25	14.50
 -80	 68.28	14.75
 -70	 72.29	14.95
 -60	 76.28	15.20
 -50	 80.25	15.40
 -40	 84.21	15.60
 -30	 88.17	15.75
 -20	 92.13	15.90
 -10	 96.07	16.10
   0	100.00	16.25
  10	103.90	16.35
  20	107.79	16.50
  30	111.67	16.65
